,Meta,Meta,Meta,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá
,ticker,yearReport,lengthReport,(ST+LT borrowings)/Equity,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital,Asset Turnover,Fixed Asset Turnover,Days Sales Outstanding,Days Inventory Outstanding,Days Payable Outstanding,Cash Cycle,Inventory Turnover,EBIT Margin (%),Gross Profit Margin (%),Net Profit Margin (%),ROE (%),ROIC (%),ROA (%),EBITDA (Bn. VND),EBIT (Bn. VND),Dividend yield (%),Current Ratio,Cash Ratio,Quick Ratio,Interest Coverage,Financial Leverage,Market Capital (Bn. VND),Outstanding Share (Mil. Shares),P/E,P/B,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA
0,FPT,2025,1,0.5355504839,0.952617552,0.4102830212355563,2.558285566067899,0.929681248,4.3955607178,59.83688507228233,19.1075650403,31.6339181692,110.57836828178233,19.1023816604,0.16160805459653937,0.3924083072159582,0.13540181234652382,0.2766305486,0.1885414411,0.1180933215,13347374679962.0,2595124918148,0.0172265289,1.3584736703,0.1991809955,1.2963239581,-17.029547740194346,1.952617551959279,171982427164200.0,1481330122.0,20.6761263652,5.3453994127,2.6534762383,17.2741159797,1467.8033979282034,21719.6117700461,14.2617762764
1,FPT,2024,4,0.4323966744,1.0152519728,0.4146977693606577,2.411855370669361,0.9502185216,4.4167392296,56.89888947578124,17.3183367531,32.7558835349,106.97310976378122,21.0759269324,0.17337075977919722,0.36220102756806544,0.11896567710986726,0.2869088635,0.2073679279,0.1187874226,13043646259024.0,3052680751061,0.0172413793,1.307144972,0.2674070277,1.2538453067,-22.636886275407964,2.015251972775668,170644025228000.0,1471069183.0,21.5982124469,5.7279471331,2.7151519292,14.4989209564,1423.947963774998,20251.5835611764,14.0318010612
2,FPT,2024,3,0.4276736162,0.911017845,0.4083021084281542,2.387326342805915,0.9392979015,4.2751400198,60.21408773214811,19.5840872209,29.8434649459,109.6416398989481,18.6375803929,0.17526039753413206,0.38728697173933097,0.1313510425849962,0.2748693607,0.1957884492,0.1173968493,12360099630987.0,2787134855818,0.0137835975,1.37570569,0.2562391168,1.3092176333,-21.634886781859034,1.9110178450230828,213452138453300.0,1471069183.0,28.3455340663,7.1637230226,3.5616083847,20.6491642472,1419.955116011699,20254.8311180277,18.2712089212
3,FPT,2024,2,0.5187197449000001,0.9942986822,0.4330823626813625,2.2099357031983042,0.9255746359,4.2108340225,59.487799010561446,19.6349645861,29.7731936788,108.89595727546144,18.5892874112,0.1541785496658849,0.3706968442895303,0.12299973233369262,0.2774659628,0.1887322535,0.1143697508,11774915228161.0,2350486898150,0.0145348837,1.3024224746,0.2180397107,1.2423484694,-15.656821244896557,1.9942986821543711,200957653881600.0,1460448066.0,28.1416643471,7.31191482,3.4773588368,18.6931921964,1283.9612802342538,18818.5999682121,18.3333839464
4,FPT,2024,1,0.5369032819,0.9549439764,0.4354081149144998,2.1417981420865213,0.8984874901,4.1569719806,58.70880159230003,21.0759661403,29.7860464703,109.57081420290004,17.3183045356,0.1644828675973937,0.39100927204955954,0.1275839066762184,0.2720626617,0.1837301081,0.1106179394,11256374502773.0,2318045278330,0.0149476831,1.2977960117,0.2184210225,1.2338552566,-16.817693644803885,1.9549439763659822,195407951230800.0,1460448066.0,28.8279171018,7.2827494102,3.5509704342,18.981919749,1231.1501554811193,18372.1823261595,18.6977132149
5,FPT,2023,4,0.4761981467,1.0139245964,0.45555866660005523,2.0217205138568026,0.9401658512,4.098582203,59.12835003928585,21.7320308267,32.8414127729,113.70179363888585,16.7954851026,0.15899913436016988,0.383370002865002,0.11765496288229074,0.2809692595,0.1921742561,0.1155186956,10738142058051.0,2335762903222,0.0173160173,1.237898147,0.2792138079,1.1841605031,-11.303314277006296,2.014310173088183,146681405062500.0,1269968875.0,22.642104984,5.8739745349,2.7876711681,15.3813227434,1360.9782061272958,19663.0065918316,15.2176525049
6,FPT,2023,3,0.6788096442,1.1866306189,0.4668696646793431,1.917577669408791,0.9059963512,4.117917757,58.831772853407486,24.7974640132,32.5506996482,116.17993651480748,14.7192470894,0.16630813652136248,0.399394769824509,0.12638952133580605,0.2666664749,0.1700554532,0.1083166686,10190190787133.0,2288690162217,0.0211193242,1.1961103323,0.2164458448,1.1429325585,-8.615276695306305,2.18663061885836,120266052462500.0,1269968875.0,19.667627301,5.0892620992,2.3595498225,15.8873510767,1369.5929045851615,18607.8056412642,13.443709215
7,FPT,2023,2,0.6901950974,1.116583337,0.42777152537844265,1.9303818546845157,0.8870838308,4.0607773049,58.556699784196894,27.2713938412,34.5525437928,120.3806374181969,13.3839877098,0.15378989063894247,0.371170226109497,0.1208887772912838,0.2650069693,0.1570804839,0.1065471408,9565749710738.0,1919969014996,0.020746888,1.2388053144,0.1993315784,1.1739776019,-9.040934275755742,2.116583336996022,122424999550000.0,1269968875.0,20.9751763439,5.06979766,2.5317055868,18.2960490435,1188.3909605603524,19014.5655634458,14.6517540986
8,FPT,2023,1,0.4681637933,0.8750535967,0.4428282766349233,1.8268162384663909,0.8599493288,3.9941626741,58.463266862364506,29.2484639673,36.0050318428,123.71676267246451,12.4792878152,0.16038474743619044,0.3910393666986681,0.127858414302857,0.2672111184,0.183142489,0.1038204213,9132115477728.0,1873515001905,0.026560425,1.2812500973,0.1427484441,1.1907556405,-12.660111102354382,1.875053596711558,95629596784500.0,1269981365.0,17.1417055282,4.2203580624,2.0803322783,17.5321131867,1176.0507847215538,17842.0880140332,11.954377051
